Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2010","2010","1000 Int$","931439","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2011","2011","1000 Int$","599620","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2012","2012","1000 Int$","1027463","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2013","2013","1000 Int$","1173634","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2014","2014","1000 Int$","401169","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2015","2015","1000 Int$","1813798","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2016","2016","1000 Int$","746858","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2017","2017","1000 Int$","533470","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2018","2018","1000 Int$","1725242","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2019","2019","1000 Int$","746858","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2020","2020","1000 Int$","2133880","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2021","2021","1000 Int$","746858","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2022","2022","1000 Int$","1280328","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2023","2023","1000 Int$","1166658","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2024","2024","1000 Int$","1126932","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1991","1991","1000 SLC","344500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1992","1992","1000 SLC","216000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1993","1993","1000 SLC","351750","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1994","1994","1000 SLC","94500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1995","1995","1000 SLC","106500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1996","1996","1000 SLC","542500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1997","1997","1000 SLC","167000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1998","1998","1000 SLC","288800","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","1999","1999","1000 SLC","272250","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2000","2000","1000 SLC","159500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2001","2001","1000 SLC","53400","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2002","2002","1000 SLC","192500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2003","2003","1000 SLC","644000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2004","2004","1000 SLC","338000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2005","2005","1000 SLC","546000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2006","2006","1000 SLC","1084020","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2007","2007","1000 SLC","568860","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2008","2008","1000 SLC","844662","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2009","2009","1000 SLC","440000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2010","2010","1000 SLC","567450","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2011","2011","1000 SLC","387780","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2012","2012","1000 SLC","635580","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2013","2013","1000 SLC","880000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2014","2014","1000 SLC","376000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2015","2015","1000 SLC","1666000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2016","2016","1000 SLC","784000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2017","2017","1000 SLC","629522","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2018","2018","1000 SLC","2587200","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2019","2019","1000 SLC","980000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2020","2020","1000 SLC","2200000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2021","2021","1000 SLC","1085000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2022","2022","1000 SLC","1958400","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2023","2023","1000 SLC","1796411","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","56","Gross Production Value (current thousand SLC)","01450","Olives","2024","2024","1000 SLC","1838126","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1961","1961","1000 SLC","195300","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1962","1962","1000 SLC","232500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1963","1963","1000 SLC","462933","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1964","1964","1000 SLC","465000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1965","1965","1000 SLC","286647","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1966","1966","1000 SLC","100647","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1967","1967","1000 SLC","284270","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1968","1968","1000 SLC","289230","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1969","1969","1000 SLC","134282","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1970","1970","1000 SLC","469753","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1971","1971","1000 SLC","870067","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1972","1972","1000 SLC","369933","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1973","1973","1000 SLC","679107","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1974","1974","1000 SLC","614007","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1975","1975","1000 SLC","904373","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1976","1976","1000 SLC","449707","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1977","1977","1000 SLC","654100","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1978","1978","1000 SLC","423667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1979","1979","1000 SLC","451567","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1980","1980","1000 SLC","749167","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1981","1981","1000 SLC","413333","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1982","1982","1000 SLC","284167","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1983","1983","1000 SLC","775000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1984","1984","1000 SLC","490833","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1985","1985","1000 SLC","542500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1986","1986","1000 SLC","589000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1987","1987","1000 SLC","516667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1988","1988","1000 SLC","279000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1989","1989","1000 SLC","671667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1990","1990","1000 SLC","852500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1991","1991","1000 SLC","1369167","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1992","1992","1000 SLC","697500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1993","1993","1000 SLC","1085000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1994","1994","1000 SLC","361667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1995","1995","1000 SLC","310000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1996","1996","1000 SLC","1601667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1997","1997","1000 SLC","516667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1998","1998","1000 SLC","981667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","1999","1999","1000 SLC","1162500","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2000","2000","1000 SLC","568333","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2001","2001","1000 SLC","155000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2002","2002","1000 SLC","361667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2003","2003","1000 SLC","1446667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2004","2004","1000 SLC","671667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2005","2005","1000 SLC","1085000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2006","2006","1000 SLC","1258600","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2007","2007","1000 SLC","1031267","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2008","2008","1000 SLC","1222433","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2009","2009","1000 SLC","826667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2010","2010","1000 SLC","902100","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2011","2011","1000 SLC","580733","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2012","2012","1000 SLC","995100","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2013","2013","1000 SLC","1136667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2014","2014","1000 SLC","388533","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2015","2015","1000 SLC","1756667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2016","2016","1000 SLC","723333","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2017","2017","1000 SLC","516667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2018","2018","1000 SLC","1670900","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2019","2019","1000 SLC","723333","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2020","2020","1000 SLC","2066667","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2021","2021","1000 SLC","723333","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2022","2022","1000 SLC","1240000","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2023","2023","1000 SLC","1129910","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","55","Gross Production Value (constant 2014-2016 thousand SLC)","01450","Olives","2024","2024","1000 SLC","1091436","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1991","1991","1000 USD","372585","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1992","1992","1000 USD","244224","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1993","1993","1000 USD","350439","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1994","1994","1000 USD","93421","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1995","1995","1000 USD","112609","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1996","1996","1000 USD","557320","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1997","1997","1000 USD","151007","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1998","1998","1000 USD","253617","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","1999","1999","1000 USD","229510","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","2000","2000","1000 USD","116365","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","2001","2001","1000 USD","37117","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","57","Gross Production Value (current thousand US$)","01450","Olives","2002","2002","1000 USD","135398","E","Estimated value"
